A Capella
Abenteuer
Abigail
Abracadabra
Abrosa
Achat
Active Area
Ad astra
Adagio
Adel
Adeline
Admiral Schneider
Aeronaut
Affähre
Afloat
Agave
AHOI
Ahoy Matie
Aimee
Air Space
Airwave
Aladdin
Alaina
Albatross
Albert Einstein
Aldebaran
Alf
Ali Baba
Alimente
All You Need Is Love
Allegro
Alligator
Allison
Almira
Almost Heaven
Almost Paradise
Althea
Amada
Amadeus
Amarilli
Amaryllis
Amazing Grace
Amethyst
Amidala
Amigo
Amore
Amphora
Anaconda
Anchorage Area
Andersartig
Andromeda
Angel Eyes
Angelically
Angelina
Angels Wing
Anisha
Anita
Anker
Anna Nass
Anna Thomie
Annett
Anni Mateur
Anouk
Antares
Aphrodite
Apocalypso
Apres Ski
Aqua Phoenix
AquaDuck
Aquaholic
Aquamarin
Aquarium
Aquarius
Aquavit
Aquaviva
Arabella
Arche Noah
Archimedes
Area
Ariel
Arielle
Arion
Aristoteles
Ars vitae
Arthus
Aschenputtel
Asgard
Assuan
Asuni
Atara
Athena
Atlantis
Atoll
Aura
Aurelia
Aurica
Aurora
Ausreißer
Avalon
Avanti
Ave!
Aventura
Aymara
Azrael
Babananu
Baboo
Baby an Bord
Bachelor's Delight
Back to You
Backup
Badewanne
Bailando
Balaica
Balance
Baleine
Balthazar
Bambina
Bamboleo
Banana Split
Banana Wind
Bananenfrachter
Band of Gold
Bandit
Banshee
Baracuda
Barbarossa
Baretta
Barnabas
Barnaby
Baroness
Basic
Batman
Bayseeker
Beach Girl
Bed and Breakfast
Belíssima
Bella
Bella Blue
Bella Donna
Bella-Bianca
Bellaluna
Bellavista
Benevento
Benita
Bermuda Short
Bernd das Boot
Bernstein
Bethia
Betty Lou
Big Bird
Big Love
Big Wave
Bigfoot
Bilbao
Billy Boat
Bin Baden
Binary Star
Bismarck
Black Beauty
Black Jack
Black Magic
Black Money
Black Pearl
Black Sheep
Black Thunder
Blackstar
Blauer Schwan
Blaues Wunder
Blizzard
Blow Me
Blown Away
Blu Balu
Blub Blub
Blubber
Blue Angel
Blue Balloon
Blue Balu
Blue Bayou
Blue Dolphin
Blue Heaven
Blue Lagune
Blue Max
Blue Moon
Blue Pearl
Blue Runner
Blue Skies
Blueberry
Blueprint
Boat-Potato
Bobbycar 2
Bolero
Bon Voyage
Bonnie
Boomer
Boomerang
Bootmanager
Bora-Bora
Bounce-Free
Bounty
Brainstorm
Brainwave
Brausepulver
Breathing Space
Brigadoon
Bubble
Bulletproof
Buon Viaggio
Buque
Burning Waves
Butterfly
Butterkutter
Calendula
